CellID,X_centroid,Y_centroid,phenotype_key,color
74438,3734.71551724138,3929.120689655173,dendritic cells,#66A61E
74449,3165.657142857143,3816.9357142857134,regulatory T cells,#0072B2
74527,3272.573440643864,3858.492957746479,regulatory T cells,#0072B2
74653,3358.829268292683,4255.432926829269,dendritic cells,#66A61E
74835,3220.8388429752067,4191.582644628099,regulatory T cells,#0072B2
74859,3711.34375,4056.41875,CD4+ T cells,#0072B2
74983,3332.4970414201184,4210.378698224852,regulatory T cells,#0072B2
75114,3576.5057471264367,4238.747126436781,regulatory T cells,#0072B2
75145,3513.509433962264,4234.815094339622,regulatory T cells,#0072B2
75291,3550.0766283524904,4100.877394636015,regulatory T cells,#0072B2
75361,3460.2021857923496,3650.207650273224,dendritic cells,#66A61E
75511,3109.79674796748,4072.7642276422766,regulatory T cells,#0072B2
75521,3275.311111111111,4309.188888888889,dendritic cells,#66A61E
75553,3262.239583333333,4378.645833333333,regulatory T cells,#0072B2
75704,3489.06015037594,3867.0375939849614,M2 macrophages,#66A61E
75740,3488.729824561404,4168.028070175438,regulatory T cells,#0072B2
75743,3326.33918128655,3969.795321637426,regulatory T cells,#0072B2
75770,3703.7838827838814,4300.684981684982,regulatory T cells,#0072B2
75771,3653.754098360656,4087.413934426229,regulatory T cells,#0072B2
76046,3509.769230769231,4028.567307692308,CD4+ T cells,#0072B2
76117,3276.848958333333,3771.484375,regulatory T cells,#0072B2
76164,3434.125,3863.359375,regulatory T cells,#0072B2
76196,3695.189349112426,4154.03550295858,M2 macrophages,#66A61E
76235,3668.7882136279927,4103.160220994475,regulatory T cells,#0072B2
76250,3699.3425925925926,3712.824074074074,M2 macrophages,#66A61E
76448,3619.344262295082,4411.975409836065,dendritic cells,#66A61E
76519,3397.6456692913384,3891.913385826771,regulatory T cells,#0072B2
76548,3664.761146496816,4372.283439490446,M2 macrophages,#66A61E
76667,3681.70625,3851.14375,CD4+ T cells,#0072B2
76777,3162.0941176470587,3905.835294117647,regulatory T cells,#0072B2
76789,3344.987616099071,4043.532507739938,regulatory T cells,#0072B2
76799,3624.0233918128656,4132.549707602339,M2 macrophages,#66A61E
76835,3710.0,3703.372781065089,M2 macrophages,#66A61E
76908,3573.6666666666665,4179.75,M2 macrophages,#66A61E
76915,3320.805882352942,3711.194117647058,regulatory T cells,#0072B2
76960,3745.04501607717,4432.244372990353,regulatory T cells,#0072B2
76995,3515.1814814814816,4350.566666666667,regulatory T cells,#0072B2
77124,3645.051470588235,4451.117647058823,dendritic cells,#66A61E
77155,3689.812834224599,3720.828877005348,CD4+ T cells,#0072B2
77171,3462.688372093023,3759.525581395349,regulatory T cells,#0072B2
77175,3736.374149659864,4268.163265306122,dendritic cells,#66A61E
77302,3688.81512605042,3769.5126050420167,CD4+ T cells,#0072B2
77303,3851.504347826087,4134.917391304348,M2 macrophages,#66A61E
77423,3756.15,4289.45,M2 macrophages,#66A61E
77450,3417.8495297805644,4314.730407523511,M2 macrophages,#66A61E
77456,3793.370967741936,3837.0725806451615,M2 macrophages,#66A61E
77552,3612.70909090909,4222.027272727273,M2 macrophages,#66A61E
77561,3558.144104803493,4012.960698689956,M2 macrophages,#66A61E
77588,3868.295652173913,3902.24347826087,M2 macrophages,#66A61E
77634,3245.2597402597403,4009.805194805195,regulatory T cells,#0072B2
77704,3230.8875,3757.5,regulatory T cells,#0072B2
77743,3232.96,3996.42,regulatory T cells,#0072B2
77750,3328.080745341615,4066.3333333333335,regulatory T cells,#0072B2
77754,3451.1258278145697,4111.529801324504,regulatory T cells,#0072B2
77820,3741.3024691358014,3764.506172839506,CD4+ T cells,#0072B2
77878,3786.1403508771928,4063.0760233918127,M2 macrophages,#66A61E
77943,3565.6912442396315,4271.258064516129,dendritic cells,#66A61E
77955,3659.0827586206897,3999.53103448276,M2 macrophages,#66A61E
78191,3322.358620689656,3698.351724137931,regulatory T cells,#0072B2
78382,3592.291304347826,4260.1,regulatory T cells,#0072B2
78477,3118.487719298246,4215.782456140351,regulatory T cells,#0072B2
78539,3907.94262295082,4067.2622950819673,M2 macrophages,#66A61E
